firestation_id,region_id
JCO-A,SO001
JCO-A,SM007
JCO-A,SM009
JCO-A,SM003
JCO-A,SM002
JCO-A,SM006
JCO-A,SM008
SJ-A,SD003
SJ-A,SD006
SJ-A,SD004
SJ-A,SD005
SJ-A,SM001
SJ-A,SD001
SJ-A,SD002
SJ-A,SD007
SJ-A,SM004
SJ-A,SM005
JCO-B,SO001
OL-C,SO001
JO-B,SM007
JO-B,SM009
SJM-C,SM009
BG-B,SM003
BG-B,SM002
ODM-C ,SM002
OS-B,SM006
OS-B,SM008
JDM-C,SM008
OJ-B,SD003
OL-B,SD006
OL-B,SD004
OL-B,SD005
OL-B,SM001
OGM-C,SM001
HS-B,SD001
HS-B,SD002
BL-B,SD007
BL-B,SM004
GNM-C,SM004
JG-B,SM005
